
==== TOP 40 CUMTIME: jokic_elasticnet.prof ====

Sun Aug 31 14:36:48 2025    jokic_elasticnet.prof

         4320135 function calls (4276393 primitive calls) in 30.273 seconds

   Ordered by: cumulative time
   List reduced from 10494 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2050/1    0.035    0.000   30.277   30.277 {built-in method builtins.exec}
        1    0.001    0.001   30.277   30.277 jokic_elasticnet.py:1(<module>)
       22   15.571    0.708   15.571    0.708 {built-in method time.sleep}
        1    0.001    0.001   10.076   10.076 jokic_elasticnet.py:73(build_features)
       22    0.001    0.000    8.958    0.407 http.py:70(send_api_request)
       22    0.000    0.000    8.956    0.407 api.py:62(get)
       22    0.000    0.000    8.955    0.407 api.py:14(request)
       22    0.001    0.000    8.948    0.407 sessions.py:502(request)
       22    0.001    0.000    8.847    0.402 sessions.py:673(send)
       22    0.001    0.000    8.834    0.402 adapters.py:434(send)
       22    0.001    0.000    8.780    0.399 connectionpool.py:596(urlopen)
       22    0.001    0.000    8.749    0.398 connectionpool.py:381(_make_request)
       12    0.001    0.000    6.249    0.521 jokic_elasticnet.py:37(fetch_gamelog)
       22    0.001    0.000    6.136    0.279 connection.py:435(getresponse)
       22    0.000    0.000    6.130    0.279 client.py:1325(getresponse)
       22    0.000    0.000    6.129    0.279 client.py:303(begin)
       22    0.001    0.000    6.118    0.278 client.py:270(_read_status)
      611    0.001    0.000    6.118    0.010 {method 'readline' of '_io.BufferedReader' objects}
       41    0.000    0.000    6.118    0.149 ssl.py:1060(recv_into)
       41    0.000    0.000    6.117    0.149 ssl.py:920(read)
       31    0.000    0.000    6.117    0.197 socket.py:575(readinto)
       41    6.117    0.149    6.117    0.149 {method 'read' of '_ssl._SSLSocket' objects}
       12    0.000    0.000    6.110    0.509 playergamelog.py:16(__init__)
       12    0.000    0.000    6.109    0.509 playergamelog.py:42(get_request)
       10    0.001    0.000    2.914    0.291 jokic_elasticnet.py:62(team_def_rating_map)
       10    0.000    0.000    2.874    0.287 leaguedashteamstats.py:16(__init__)
       10    0.000    0.000    2.874    0.287 leaguedashteamstats.py:90(get_request)
       22    0.000    0.000    2.604    0.118 connectionpool.py:1089(_validate_conn)
       22    0.001    0.000    2.604    0.118 connection.py:609(connect)
  1597/30    0.009    0.000    2.236    0.075 <frozen importlib._bootstrap>:978(_find_and_load)
  1592/30    0.005    0.000    2.235    0.074 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1505/34    0.005    0.000    2.223    0.065 <frozen importlib._bootstrap>:663(_load_unlocked)
  1304/33    0.004    0.000    2.219    0.067 <frozen importlib._bootstrap_external>:722(exec_module)
  2024/33    0.001    0.000    2.205    0.067 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   623/71    0.001    0.000    1.834    0.026 {built-in method builtins.__import__}
13355/9889    0.008    0.000    1.643    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       22    0.000    0.000    1.347    0.061 connection.py:197(_new_conn)
